OGLE-LMC-CEP-0317  15.608 16.436   3.1175013 0.0000151  2164.71442  0.320  0.370 4.537  0.153 2.897
OGLE-LMC-CEP-0319  15.582 16.318   2.5915990 0.0000034  2165.68011  0.448  0.438 4.392  0.212 2.604
OGLE-LMC-CEP-0321  15.397 16.231   3.2957693 0.0000053  2165.90455  0.485  0.448 4.597  0.257 2.916
OGLE-LMC-CEP-0322  15.658 16.243   2.3834244 0.0000082  2171.54528  0.548  0.450 4.386  0.225 2.524
OGLE-LMC-CEP-0324  16.035 17.091   3.1905922 0.0000052  2165.29108  0.493  0.480 4.607  0.269 2.951
OGLE-LMC-CEP-0325  15.507 16.305   3.1928304 0.0000051  2165.69842  0.414  0.443 4.577  0.228 2.920
OGLE-LMC-CEP-0328     -   13.023  34.4596588 0.0020661      -         -      -     -      -     -  
OGLE-LMC-CEP-0329  15.059 15.796   3.9275573 0.0000076  2164.10143  0.450  0.402 4.639  0.192 2.993
OGLE-LMC-CEP-0331  14.491 15.432   6.8706154 0.0000415  2162.07091  0.336  0.363 5.156  0.082 3.742
OGLE-LMC-CEP-0332  14.696 15.478   4.2959573 0.0000162  2166.38675  0.248  0.176 4.795  0.023 3.267
OGLE-LMC-CEP-0333  14.779 15.637   5.5496495 0.0000191  2165.78767  0.408  0.396 4.956  0.129 3.598
OGLE-LMC-CEP-0335  15.594 16.319   2.8707504 0.0000092  2165.21181  0.339  0.412 4.534  0.176 2.851
OGLE-LMC-CEP-0337  15.754 16.575   2.8804844 0.0000052  2163.62503  0.481  0.464 4.519  0.258 2.865
OGLE-LMC-CEP-0339  15.502 16.277   2.8676246 0.0000035  2165.66204  0.470  0.446 4.501  0.231 2.742
OGLE-LMC-CEP-0340  16.007 16.707   2.1444944 0.0000047  2163.81172  0.253  0.304 4.447  0.106 2.723
OGLE-LMC-CEP-0345  16.184 17.171   2.6688241 0.0000125  2166.79787  0.234  0.287 4.459  0.088 2.675
OGLE-LMC-CEP-0346  15.874 16.760   3.0464527 0.0000061  2165.62930  0.385  0.419 4.575  0.206 2.870
OGLE-LMC-CEP-0349  15.937 16.907   3.0398703 0.0000104  2164.87029  0.418  0.455 4.570  0.225 2.958
OGLE-LMC-CEP-0350  15.909 16.835   2.8744751 0.0000074  2166.22834  0.344  0.394 4.558  0.169 2.819
OGLE-LMC-CEP-0351  15.720 16.666   3.5009055 0.0000082  2164.36988  0.328  0.390 4.691  0.160 3.123
OGLE-LMC-CEP-0352  15.202 15.953   3.5263678 0.0000045  2164.09219  0.464  0.436 4.597  0.226 2.974
OGLE-LMC-CEP-0353  15.155 15.809   3.5671914 0.0000055  2164.53106  0.508  0.477 4.677  0.278 3.098
OGLE-LMC-CEP-0354  15.768 16.477   2.2411410 0.0000028  2165.79911  0.451  0.423 4.392  0.219 2.580
OGLE-LMC-CEP-0356  13.653 14.489  12.6838476 0.0000450  2159.65348  0.688  0.285 5.066  0.188 2.668
OGLE-LMC-CEP-0357  15.091 15.880   4.3808293 0.0000092  2162.47902  0.405  0.419 4.827  0.176 3.423
OGLE-LMC-CEP-0359  14.570 15.306   6.5464473 0.0000793  2191.19199  0.336  0.327 5.368  0.086 3.823
OGLE-LMC-CEP-0360  13.286 14.324  22.0879227 0.0001805  2164.52793  0.513  0.258 4.881  0.173 3.186
OGLE-LMC-CEP-0361  15.561 16.240   2.9203080 0.0000071  2164.97351  0.534  0.421 4.522  0.224 2.818
OGLE-LMC-CEP-0362  15.464 16.177   3.0249357 0.0000043  2166.40309  0.446  0.461 4.556  0.239 2.827
OGLE-LMC-CEP-0364  15.823 16.553   2.3302809 0.0000017  2163.85807  0.531  0.465 4.383  0.251 2.593
OGLE-LMC-CEP-0365  16.647 17.291   1.1606904 0.0000014  2165.88014  0.348  0.393 4.010  0.180 1.791
OGLE-LMC-CEP-0366  13.606 14.372   9.5294292 0.0000391  2166.68922  0.475  0.337 4.872  0.139 2.799
OGLE-LMC-CEP-0367  12.711    -    29.8668209 0.0256815  2246.04490  0.600  0.209 4.893  0.315 2.399
