ID_OGLE,RAJ2000.0,DECJ2000.0,Survey,Band,N_epoch,HJD,mag,errmag
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1211.71361,14.014,0.017
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1214.60676,14.224,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1217.66015,14.289,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1219.71597,14.047,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1223.58425,14.375,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1234.66971,14.018,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1239.69042,14.397,0.018
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1241.707,13.993,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1243.51397,14.11,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1245.59869,14.293,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1247.69813,14.309,0.018
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1248.66583,14.05,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1254.51731,14.399,0.017
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1259.50969,14.182,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1264.50389,14.007,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1267.52307,14.272,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1273.52924,14.122,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1275.50825,14.28,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1278.54077,14.109,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1288.48557,14.103,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1290.61527,14.282,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1298.52682,14.327,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1301.5321,14.026,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1306.47339,14.371,0.017
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1312.46631,14.204,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1316.48168,14.024,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1319.52226,14.143,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1320.46227,14.276,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1330.45932,14.324,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1331.46209,14.059,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1332.45752,14.028,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1333.46311,14.107,0.007
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1335.45948,14.259,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1336.48304,14.374,0.007
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1339.45611,14.013,0.007
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1339.46604,14.01,0.007
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1340.45423,14.075,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1340.47885,14.067,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1342.45884,14.197,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1348.46128,14.089,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1349.46278,14.147,0.017
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1350.46375,14.26,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1354.94176,13.99,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1360.94326,14.234,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1365.94303,14.28,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1375.93347,14.21,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1400.89459,14.051,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1412.90498,14.396,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1430.86907,14.056,0.006
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1432.86628,14.201,0.007
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1433.90361,14.3,0.007
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1440.81045,14.266,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1446.88566,14.091,0.007
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1458.81234,14.23,0.006
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1459.8398,14.015,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1462.75114,14.157,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1470.79147,14.247,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1475.79113,14.048,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1479.71655,14.379,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1484.73225,14.103,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1487.75793,14.42,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1491.68606,14.094,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1493.83797,14.28,0.01
