ID,OGLE-II ID
OGLE-LMC-CEP-3281,
OGLE-LMC-CEP-4064,
OGLE-LMC-CEP-0871,
OGLE-LMC-CEP-4650,
OGLE-LMC-CEP-2440,
OGLE-LMC-CEP-3339,
OGLE-LMC-CEP-3960,
OGLE-LMC-CEP-0499,
OGLE-LMC-CEP-4562,
OGLE-LMC-CEP-2044,
OGLE-LMC-CEP-3898,
OGLE-LMC-CEP-4208,
OGLE-LMC-CEP-4693,
OGLE-LMC-CEP-4153,
OGLE-LMC-CEP-4402,
OGLE-LMC-CEP-0922,
OGLE-LMC-CEP-0218,
OGLE-LMC-CEP-3802,
OGLE-LMC-CEP-3024,
OGLE-LMC-CEP-2348,
OGLE-LMC-CEP-0757,
OGLE-LMC-CEP-3646,
OGLE-LMC-CEP-3470,
OGLE-LMC-CEP-4176,
OGLE-LMC-CEP-2456,
OGLE-LMC-CEP-3292,
OGLE-LMC-CEP-0101,
OGLE-LMC-CEP-4544,
OGLE-LMC-CEP-3565,
OGLE-LMC-CEP-4379,
OGLE-LMC-CEP-4667,
OGLE-LMC-CEP-4008,
OGLE-LMC-CEP-4194,
OGLE-LMC-CEP-3929,
OGLE-LMC-CEP-3553,
OGLE-LMC-CEP-3886,
OGLE-LMC-CEP-4216,
OGLE-LMC-CEP-3861,
OGLE-LMC-CEP-2968,
OGLE-LMC-CEP-3566,
OGLE-LMC-CEP-3317,
OGLE-LMC-CEP-0126,
OGLE-LMC-CEP-2336,
OGLE-LMC-CEP-4694,
OGLE-LMC-CEP-4140,
OGLE-LMC-CEP-3487,
OGLE-LMC-CEP-3518,
OGLE-LMC-CEP-4269,
OGLE-LMC-CEP-0482,
OGLE-LMC-CEP-4275,
OGLE-LMC-CEP-4501,
OGLE-LMC-CEP-0690,
OGLE-LMC-CEP-0078,
OGLE-LMC-CEP-3677,
OGLE-LMC-CEP-4316,
OGLE-LMC-CEP-2909,
OGLE-LMC-CEP-1835,
OGLE-LMC-CEP-1531,
OGLE-LMC-CEP-0394,
OGLE-LMC-CEP-1176,
OGLE-LMC-CEP-4161,
OGLE-LMC-CEP-0033,
OGLE-LMC-CEP-0380,
OGLE-LMC-CEP-3484,
OGLE-LMC-CEP-0462,
OGLE-LMC-CEP-4605,
OGLE-LMC-CEP-3791,
OGLE-LMC-CEP-0660,
OGLE-LMC-CEP-0035,
OGLE-LMC-CEP-1804,
OGLE-LMC-CEP-0123,
OGLE-LMC-CEP-0306,
OGLE-LMC-CEP-4699,
OGLE-LMC-CEP-0331,
OGLE-LMC-CEP-3923,
OGLE-LMC-CEP-0308,
OGLE-LMC-CEP-0594,
OGLE-LMC-CEP-3991,
OGLE-LMC-CEP-0556,
OGLE-LMC-CEP-1226,
OGLE-LMC-CEP-1444,
