ID,mag_I,mag_V,ra,dec,DASCH ID
OGLE-LMC-CEP-2286,14.009,14.788,05:31:56.28,-69:14:33.9,S013200231868
OGLE-LMC-CEP-1462,14.011,14.813,05:16:52.70,-69:01:56.5,APASS_J051652.7-690157
OGLE-LMC-CEP-2209,14.103,15.012,05:30:45.85,-68:47:27.0,APASS_J053045.8-684727
OGLE-LMC-CEP-1262,14.091,15.055,05:13:10.34,-69:06:54.1,
OGLE-LMC-CEP-3281,14.078,14.935,05:52:57.27,-69:29:14.4,
OGLE-LMC-CEP-4064,13.826,14.503,05:29:58.43,-65:54:20.5,APASS_J052958.4-655420
OGLE-LMC-CEP-0871,14.298,15.201,05:04:47.65,-68:35:22.7,S0132030106381
OGLE-LMC-CEP-0927,13.991,14.829,05:05:53.38,-68:07:08.1,APASS_J050553.4-680708
OGLE-LMC-CEP-0846,14.017,14.887,05:04:18.13,-68:33:59.9,S0132030107394
OGLE-LMC-CEP-0854,13.92,14.726,05:04:26.61,-67:24:06.0,APASS_J050426.6-672406
OGLE-LMC-CEP-4650,14.11,,05:18:14.61,-66:38:13.7,APASS_J051814.6-663814
OGLE-LMC-CEP-2440,14.342,15.333,05:34:33.01,-68:50:13.9,S013200267115
OGLE-LMC-CEP-3339,13.984000000000002,14.828,06:02:24.29,-69:15:14.1,APASS_J060224.3-691514
OGLE-LMC-CEP-3960,14.03,14.89,05:24:39.01,-66:25:51.7,APASS_J052439.0-662552
OGLE-LMC-CEP-1083,13.913,14.667,05:08:46.53,-68:10:31.7,APASS_J050846.5-681032
OGLE-LMC-CEP-0046,13.948,14.745,04:43:20.86,-69:13:47.9,S0132330384
OGLE-LMC-CEP-0499,14.12,,04:57:50.14,-68:59:22.5,APASS_J045750.1-685923
OGLE-LMC-CEP-1956,14.28,15.252,05:25:40.60,-69:50:13.5,S013203159611
OGLE-LMC-CEP-1214,13.878,14.617,05:11:53.26,-69:06:48.5,S013203310195
OGLE-LMC-CEP-4562,14.081,14.947,06:00:51.52,-67:25:39.5,APASS_J060051.5-672539
OGLE-LMC-CEP-2044,13.999,14.78,05:27:27.17,-71:52:54.4,
OGLE-LMC-CEP-0107,13.947,14.761,04:48:51.35,-69:21:22.8,APASS_J044851.4-692123
OGLE-LMC-CEP-3898,13.909,14.697,05:21:24.09,-66:20:36.0,APASS_J052124.1-662036
OGLE-LMC-CEP-4208,13.966,14.701,05:37:17.35,-66:45:11.9,APASS_J053717.3-664512
OGLE-LMC-CEP-0963,13.884,14.685,05:06:39.89,-68:25:12.7,APASS_J050639.9-682513
OGLE-LMC-CEP-1647,13.939,14.702,05:20:37.39,-69:30:56.6,S013203183184
OGLE-LMC-CEP-1417,13.973,14.786,05:16:00.22,-69:32:17.4,S013203182108
OGLE-LMC-CEP-4693,14.084,,05:46:20.97,-67:09:14.8,APASS_J054621.0-670915
OGLE-LMC-CEP-4153,13.962,14.768,05:34:12.11,-67:23:09.5,APASS_J053412.1-672310
OGLE-LMC-CEP-4402,13.894,14.691,05:47:39.27,-66:58:03.0,APASS_J054739.3-665803
OGLE-LMC-CEP-0922,14.125,14.912,05:05:49.63,-67:13:11.5,APASS_J050549.6-671311
OGLE-LMC-CEP-0218,14.366,,04:52:07.70,-69:36:50.9,S013202229494
OGLE-LMC-CEP-3802,14.172,14.976,05:16:03.91,-66:25:28.3,S013201236898
OGLE-LMC-CEP-1880,14.034,14.87,05:24:30.11,-71:54:15.4,APASS_J052430.1-715415
OGLE-LMC-CEP-1078,13.93,14.71,05:08:43.12,-68:45:33.1,
OGLE-LMC-CEP-3024,14.236,15.136,05:43:05.96,-69:29:26.5,APASS_J054306.0-692926
OGLE-LMC-CEP-2348,14.151,15.022,05:33:13.76,-71:48:30.0,APASS_J053313.8-714830
OGLE-LMC-CEP-1513,13.95,14.667,05:17:55.26,-69:45:46.3,APASS_J051755.3-694546
OGLE-LMC-CEP-0757,14.233,,05:02:31.04,-69:23:49.4,S0132022130058
OGLE-LMC-CEP-0520,14.032,14.781,04:58:22.85,-71:02:32.9,APASS_J045822.9-710233
OGLE-LMC-CEP-0843,14.505,15.505999999999998,05:04:14.14,-69:06:11.5,S013203072910
OGLE-LMC-CEP-3646,13.979,14.749,05:10:15.57,-66:25:27.8,APASS_J051015.6-662528
OGLE-LMC-CEP-3470,14.12,14.97,04:55:30.26,-66:19:22.9,APASS_J045530.3-661923
OGLE-LMC-CEP-4176,13.936,14.715,05:35:36.08,-67:15:56.4,APASS_J053536.1-671556
OGLE-LMC-CEP-0936,14.159,14.972,05:06:01.14,-68:37:38.5,
OGLE-LMC-CEP-4211,13.97,14.733,05:37:28.28,-66:37:43.1,APASS_J053728.3-663743
OGLE-LMC-CEP-2174,13.841,14.558,05:30:11.07,-71:46:05.5,APASS_J053011.1-714605
OGLE-LMC-CEP-4512,14.049,14.861,05:54:28.96,-68:16:53.1,APASS_J055429.0-681653
OGLE-LMC-CEP-2812,14.127,15.046,05:39:38.36,-70:23:19.3,S010103273516
OGLE-LMC-CEP-2456,14.271,15.203,05:34:51.89,-69:24:06.1,S013200223099
OGLE-LMC-CEP-0223,14.292,15.15,04:52:13.34,-69:52:02.0,S013202219849
OGLE-LMC-CEP-3292,14.206,15.094,05:53:32.13,-69:48:44.9,S010100247791
OGLE-LMC-CEP-1233,13.919,14.653,05:12:18.79,-68:52:45.1,APASS_J051218.8-685245
OGLE-LMC-CEP-0101,14.692,15.778,04:48:34.23,-69:20:50.2,S013231177401
OGLE-LMC-CEP-1140,13.856,,05:09:56.34,-68:59:40.6,APASS_J050956.3-685941
OGLE-LMC-CEP-1490,13.91,14.619000000000002,05:17:24.74,-69:20:57.6,S0132031103901
OGLE-LMC-CEP-4544,14.013,14.809,05:57:31.51,-67:37:29.4,APASS_J055731.5-673729
OGLE-LMC-CEP-3565,13.948,14.69,05:04:56.44,-65:36:25.8,APASS_J050456.5-653626
OGLE-LMC-CEP-4379,13.991,14.773,05:46:28.86,-66:00:41.3,
OGLE-LMC-CEP-4667,14.083,14.987,05:27:07.38,-65:18:12.6,APASS_J052707.4-651813
