ID;mag_I;mag_V;P;error_P;t_max;amp_I;R_21;phi_21;R_31;phi_31;mode;ra;dec;OGLE-IV ID;OGLE-III ID;OGLE-II ID;GCVS;DASCH
OGLE-LMC-CEP-0500;13.889000000000001;14.255;13.979358600000001;0.0021671999999999998;6002.81726;1.047;0.20199999999999999;5.369;0.10300000000000001;2.128;F;04:57:50.85;-67:50:18.8;LMC532.19.15196;LMC125.5.4;HV2244;;True
OGLE-LMC-CEP-1641;13.192;14.081;13.963247099999998;7.209999999999999e-05;6004.18702;593;0.23199999999999998;4.64;0.16399999999999998;1.5119999999999998;F;05:20:28.63;-69:01:31.8;LMC503.20.97677;LMC100.4.15649;HV2463;;True
OGLE-LMC-CEP-1166;13.488;14.382;13.9082639;7.929999999999999e-05;6010.94566;636;0.19399999999999998;5.008;132;2.207;F;05:10:36.10;-69:08:17.8;LMC510.01.56646;LMC111.6.55808;LMC_SC10_35590;HV911;True
OGLE-LMC-CEP-1088;13.4;;13.8791812;0.0001252;6002.7222600000005;0.5720000000000001;0.11599999999999999;4.952;0.14300000000000002;1.254;F;05:08:49.54;-68:59:59.1;LMC510.10.575D;LMC119.4.99400;LMC_SC11_227948;;True
OGLE-LMC-CEP-2030;13.498;14.456;13.8701546;0.0001097;6009.75044;312;81;3.0069999999999997;0.11599999999999999;1.0859999999999999;F;05:27:07.76;-68:29:42.9;LMC517.24.10678;LMC160.4.11070;HV2538;;True
OGLE-LMC-CEP-0070;13.754000000000001;14.765999999999998;13.7462846;7.94e-05;6011.02012;0.47;0.1;4.533;151;1.5959999999999999;F;04:46:01.08;-69:38:55.8;LMC538.17.12700;LMC143.4.5;HV12724;;True
OGLE-LMC-CEP-4664;13.314;;13.739543900000001;0.00015859999999999998;6007.76435;706;231;4.928999999999999;0.16;2.02;F;05:25:48.51;-67:21:07.1;LMC518.25.917D;HV955;;;True
OGLE-LMC-CEP-3013;13.512;14.43;13.659166399999998;7.65e-05;6012.69742;0.41700000000000004;0.10300000000000001;5.05;162;1.48;F;05:42:51.05;-70:08:12.3;LMC552.31.39683;LMC177.4.85439;LMC_SC19_48636;HV1019;True
OGLE-LMC-CEP-3091;13.710999999999999;14.697000000000001;13.641749599999999;0.0001079;6010.15615;304;92;4.373;0.08900000000000001;2.178;F;05:44:51.78;-68:28:33.7;LMC554.04.14810;LMC182.4.19;;;True
OGLE-LMC-CEP-1100;13.38;14.207;13.629853500000001;8.73e-05;6005.355170000001;442;158;4.738;0.12300000000000001;1.575;F;05:09:04.38;-70:21:54.1;LMC509.02.27148;HV2352;;;True
